sentence,label
He is the King.,King.
And who is <u>he</u> that they should join <u>him</u>?,<u>him</u>?
He didn't join them. They joined him.,him.
"If that were so, you'd be dead now. He was aiming at the Dark One, for there is ancient hatred between them. Once his race had two eyes, like other men, until his forefathers bargained with the Dark Ones: they gave up one of their eyes in return for the power to see the future. But they were cheated, for the only future they were permitted to see was the time of their own death.",death.
He was aiming a huge spear right at me!,me!
"The one with red eyes was a Dark One, the other was a Cyclops, and it was not you he meant to kill.",kill.
"One with red eyes, the other with one eye, both trying to kill me.",me.
<u>Me</u>? Travel with <u>you</u>? I am Ergo the Magnificent ...  ... short in stature ...  ... tall in power ...  ... narrow of purpose ...  ... wide of vision. And I do not travel with peasants and beggars. Goodbye!,Goodbye!
The forest is not safe these days. You'd best travel with us.,us.
My spells always go wrong when I am observed. Be gone!,gone!
He will not come. You will be my queen.,queen.
He will come for me.,me.
Then he will die!,die!
He will not!,not!
These walls do not lie! He will betray you.,you.
It's a lie!,lie!
Then look!,look!
I do not want your worlds or your slaves.,slaves.
"You know nothing of power, you foolish girl. You think power is a mighty sword, or a strong castle, or the paltry magic of an Emerald Seer. Power is none of these.",these.
I do not want your power. It is hideous.,hideous.
They will have the life that you and I might have had.,had.
A fine match.,match.
"A match for your son, I think.",think.
"A girl of some spirit, your daughter.",daughter.
"That I am, my lady.",lady.
You knew! You are a rude bumpkin!,bumpkin!
I knew.,knew.
"I will tell you something you did not know, Turold. Had it been my choice, all those years ago, I would have chosen you for my king. But my parents chose otherwise.",otherwise.
Yes.,Yes.
It is important to assure the succession.,succession.
"For some, the lure of power is stronger than the ties of blood. No matter. I had hoped to have the wedding next spring, Lord Turold, with all the nobles of the kingdom in attendance. But Fate and this war have ordained otherwise.",otherwise.
Modred has treated with the Dark Ones.,Ones.
Lord Rowan is one of Lyssa's godfathers. He will defend her in the ceremony. I wish that Lord Modred were here. He is a godfather of her own blood.,blood.
We will hold. Their power is not unlimited.,unlimited.
"It is the way of all invaders. Those they would conquer they divide, buying allies with promises of land and power.",power.
"The attacks are unceasing: by night, the Dark Ones; by day, those of our people who have sold themselves to them, those traitors who are called the Slayers.",Slayers.
It is only a few weeks and already half our strong places have fallen.,fallen.
"It has been taken, Freylag and all his people slaughtered.",slaughtered.
Freylag's stronghold?,stronghold?
"Barak is still strong in the north, and Tendo holds the high passes. But the great desert forts have fallen.",fallen.
What news from our friends?,friends?
"He leads a group of Slayers, under the leopard banner.",banner.
Modred! Impossible!,Impossible!
"We will have to try again. His knowledge is great. Without it, we cannot hope to win.",win.
"Sixty at the needle, another thirty in the forest. Only ten of us made it back.",back.
How many did you lose?,lose?
"I tried to reach Ynyr, the old one. I led a hundred men to his place in Granite Needle, but it was surrounded. The Dark Ones guard it by night and by day they call out the Slayers. Ynyr cannot get out and no one can get in.",in.
You were lucky. I lost thirty there.,there.
Yes. We lost five.,five.
You were attacked in the forest?,forest?
"They will fail for, during the day, the power of the Circle is greater than theirs. Only at night can they pierce the Circle.",Circle.
The Dark Ones will appose you with all their power.,power.
Yes. It is the Western Ocean.,Ocean.
Can you see?,see?
I will seek the Fortress for you.,you.
It is the time.,time.
"Yes. You have left your place in the Needle. It is the time, then.",then.
You know the voice.,voice.
With an old voice?,voice?
The new King.,King.
Such a vision will be opposed. Who seeks it?,it?
We seek the Fortress of Krull.,Krull.
That is true.,true.
Go now.  Quell was wise. He knew that a man cannot ask more of his death than it help his friends.,friends.
It is too late. He has drunk.,drunk.
Kegan!,Kegan!
"Yes, they are weakening. It takes great power to maintain the Fortress, and they have expended much.",much.
Look.,Look.
It is not necessary. They will not follow.,follow.
I'll stay behind and keep them busy.,busy.
It's a hundred leagues from here.,here.
We must reach the Valley of Reeds before the next dawn.,dawn.
"Each to his fate. Wait for me at the inn. If I am not back by dawn, you will know my fate, and you must go on without me.",me.
"Each to his fate, lad.",lad.
Fewer will survive them.,them.
Few have survived it.,it.
She had another name once.,once.
Her name is Death.,Death.
"Perhaps she will not kill me, for I know her name.",name.
She has the power to kill.,kill.
She has the power of vision.,vision.
That creature helps no one. And none who go there return.,return.
Yes.,Yes.
The Widow of the Web?,Web?
I must go to the widow. Perhaps she will help.,help.
"Yes.  Like you, a King. A King of many worlds. All enslaved.",enslaved.
The leader of the Dark Ones?,Ones?
"No maze to me, my fried. It is where we take refuge when they hunt us.",us.
Many have perished in that maze.,maze.
We can save half a day by crossing the Stone Lake.,Lake.
There's an Emerald Circle a few leagues from here.  We'll find her.,her.
We'll seek an Emerald Seer. They have great powers of vision.,vision.
"No. They are sad, solitary creatures, rarely seen.",seen.
Knowledge I wouldn't want.,want.
"There is sand enough for only one life. Go now, save the other.",other.
You will come with me.,me.
"You cannot stop time. Go now, before it runs out.",out.
I cannot stop the sand.,sand.
Then the other Lyssa will share your fate. She will grow old in the Fortress as you have grown old here.,here.
It will not help.,help.
"Tomorrow, the Fortress of Krull will rise with the sun in the Valley of Reeds. But the knowledge is of no use to you. No man has ever escaped the Web. And soon the creature will come for you, even here.",here.
A young man seeks her. A young man about the age I was when I met you.,you.
No.,No.
Could I lie to you and still see your beauty?,beauty?
You lie!,lie!
There is a girl there. Her name is Lyssa.,Lyssa.
Why must you know?,know?
The Fortress of Krull. When will it come near here?,here?
Of what?,what?
Knowledge.,Knowledge.
Power you have given me. What can my power give you?,you?
"Memory is no trick, it is a power. The power to see.",see.
Yes.,Yes.
You see?,see?
Those are reflections.  <u>This</u> is my face!,face!
It is no trickery.,trickery.
Do not try your trickery on me!,me!
I killed him when he was born.  This place is my punishment.,punishment.
Where is he? My son.,son.
You had left me! I kept silent out of rage.,rage.
You said nothing. You told me nothing.,nothing.
You had a son.,son.
We had no children.,children.
She bore you many children?,children?
"No, she was not as beautiful.",beautiful.
She was not as beautiful.,beautiful.
Could not. Could not betray the girl to whom I was betrothed.,betrothed.
But you would not stay with me.,me.
The most beautiful woman in the world.,world.
I was beautiful then.,then.
It is fifty years since I spoke it to you.,you.
It is fifty years since I heard that name.,name.
Ynyr!,Ynyr!
Who speaks that name!,name!
...I heard he said... That's all... Thanks.,Thanks.
Yeah... How do you know it?,it?
...Office 2702.,2702
"OK. Mister Stansfield, Norman STANSFIELD.",STANSFIELD.
"Give me his name, I will mail him.",him.
"Huh? I see, but this is the FBI, little girl, and I can't let you in.  But if you leave me his money, I'll give him it myself.",myself.
"He forgot his money...  My mother's got a pub, behind the corner, and he forgot his money, about 100$.",100$.
Why do you want to know?,know?
What's that man's name?,name?
...I don't know... It's true he touches me. I love him.,him.
...Good...  But what's special in him?,him?
No... Not yet.  He's very shy... and very sensitive.,sensitive.
Well... Did you sleep with him or not?,not?
...What?,...What?
"I can't believe it! ""Yes I think""... How she kids me! I can't believe it!  And did he pass your threshold or not?",not?
"Come on, shit, tell me! Is he beautiful?",beautiful?
No.,No.
"YEAH! I was sure! Come on, tell me! I know him?",him?
No... I can't... I got tired. I want to live my way.,way.
"Good, what are you going to do? Do you come back?",back?
"Asshole. But she won't miss anything, that. You'll see.",see.
She told them you wanted her things and that she wasn't surprised police looked for you! Can you believe it?!,it?!
No?,No?
"Yeah, pal! And I didn't say anything, I said I don't know you.  But do you know what did she say, that stupid Raphaella?",Raphaella?
"Take them, you never know... If you want to have some fun. Take, it's a gift.",gift.
"Well, I don't need them...",them...
Take...,Take...
"I'll explain you, Leon: they'll ask you to fill in a lot of forms and you can't write and they'll ask you your job, your employer's name and you can't tell them: My job, I'm a hitman and my employer is Tony, his record is longer than his resturant's menu.  That's why you can't have a bank account!",account!
Why can't I have a bank account?,account?
"Listen, think about what you want to do, but don't worry, your money is there and it's safer than in a bank... Banks are robbed every five minutes!",minutes!
Yeah... Well... I don't know.. I don't know any.,any.
"Pay attention to women, Leon.  They are dangerous, you know?",know?
"No, no.",no.
No... Just to know... Because it's a long time I work... And I never did anything with my money... I should do something.,something.
Do you need money?,money?
Tell me... The money I earn and you keep for me...,me...
"That's what I later told myself!  No, Tony, forget Leon! It can't be him, he likes too much his job to make such a slaughter!",slaughter!
"Dirty work, and I kill no women and no kids.",kids.
At a certain moment I thought: maybe Leon would like working on his own? So he makes some little extras?,extras?
Yes.,Yes.
"It's better...  You see, it's my turf, so I don't want contracts I'm not informed about, on my turf.  I'm not opposing, but the least they can do is informing me, isn't it?",it?
...Not at all.,all.
Huh!? Because of the slaughter at your same floor?,floor?
Yeah.,Yeah.
"...You moved too, didn't you?",you?
"Not at all, Mathilda! I tell you because it's true! You'll buy the globe you told me about and you will choose, OK? We'll go where you want! I swear, you'll see, Mathilda!!",Mathilda!!
You say it just to calm me!,me!
"No, no! I don't want to go!  I don't want!",want!
"Mathilda, listen!",listen!
No! I don't want to leave you!!,you!!
"Let me work. We'll get out, I tell you!",you!
"How shall we get out now, Leon?",Leon?
Good! Snipers can't be in position.,position.
I don't know... Five minutes.,minutes.
It will take them five minutes!  How long ago did they arrive?,arrive?
"Why did you unleash the pipe, I don't know?",know?
"I don't know... Getting far away, the two of us, for example...  And forgetting all this...",this...
"Yeah, what?",what?
"Maybe it's the time to do something, isn't it?",it?
"Nothing, for the moment.",moment.
"What do you do, with the money you earn?",earn?
...Yes.,...Yes.
May I ask you a personal question?,question?
"Three times, then two times.",times.
Yes.,Yes.
"You... You knock the code, when you come back, OK?",OK?
"...Yes. The day he got out of jail. I allowed him to make ten steps... No more. And bang. Two hundred meters. By telescope. That night, I left my country and came here, to join my father, who worked for Tony.  ...I was 17. Then, I never left the city...  And never had another girlfriend...",girlfriend...
"...That's awful.  I hope you killed, that asshole?",asshole?
"Then? You didn't give a shit about her father, didn't you?  You met anyway?",anyway?
"...I had a girlfriend... A long time ago.  Before coming here, in my country. I was 14-year-old... We flirted like kids...  Her father didn't want her to meet me.  My family was not very respectable.",respectable.
"Stop, Mathilda! Don't talk like that!",that!
"Why? Did you have too many and you fear it may shock me?  I won't get shocked. I'm used to this!  My father was a true pig. He fucked the bitch I'd as mother all around the apartment. Whenever a door was closed, you could be sure they were making sex behind it!  And my sister, if you didn't sleep with her, you're building's exception!",exception!
"...Mathilda, I don't feel like talking about this.",this.
"Well... 1... 2... 10... 100... 1000? How many, approximately?",approximately?
...I don't know.,know.
How many girlfriends did you have?,have?
...Don't you like me?,me?
...No...,...No...
I prefer waiting for a while...  I feel it would go the wrong way.,way.
...Don't you drink?,drink?
"Of course! I'm fine!  I put on your beautiful dress, I slightly made up...  I tried to get beautiful!  Don't you like it?",it?
"Well... I don't know, suddenly, the make up... All this... How are you?  Are you OK?",OK?
Well... I proposed them to play roulette...  Like we played...  ...And I lost.,lost.
"Poor darling, and then?",then?
"I love you too, and I don't want to lose you.",you.
"I love you so much, Leon.",Leon.
"I'm here, I'll never leave you again, Mathilda, never. I swear.",swear.
I don't grow up any more. I just get older.,older.
"Yeah, I know! But for the moment you're not yet a woman. So, be patient... I need time... And you too. You have to grow up.",up.
You've just to love me and I'll be the happiest woman around.,around.
"No, excuse me... It's the yogurt that made me laugh.",laugh.
"Huh, really? What? Come on, I'm waiting!",waiting!
Mathilda... There's equally a lot of other things!,things!
"There are just two things I'm interested in: love and death.  For the moment, I have none of the two!",two!
"...You're young, Mathilda... You still have a chance to get out.  You can't give up this chance. You have to protect it. There's a lot of things to do in life, a lot of other jobs...",jobs...
"Risky business, isn't it?",it?
Yeah... I'm just good for left-overs!,left-overs!
It's too big.,big.
Yeah... There's a lot on TV.,TV.
Is there a normal 13 or 14 year old boy?,boy?
A little...,little...
"You're darkening the picture, aren't you?",you?
"Friends? You're crazy!  In my building, before, they just cared drugs all day and you couldn't get one, or they just cared video games and you couldn't get one, no more.",more.
"...I prefer apartments...  Furthermore, there are always kids in a building. What about getting some friends?",friends?
"Yeah!... Anyway, I don't like hotels. Too much people, everyone's got the key... I don't like it.",it.
"That wasn't bullshit, I said we love each other.",other.
"Mathilda, hadn't you told that bullshit to the receptionist, we'd still be in the hotel, I make you notice.",notice.
...Later.,...Later.
...I'd like knowing what he's listening to...,to...
"There are better things.  You see the importance of the ""moment"".  Ten minutes early or late, he'd have seen death. He'd have suffered it.  This way, he already departed. Without knowing.",knowing.
It's cool departing this way... warm... music...,music...
...Why didn't he close the window?,window?
"Piddle. She smiles and looks for the bathroom. She finds it and is going to go in when she sees the head of a man in the bath, walkman on. She withholds a shout and gets against the wall, without moving. She doesn't dare passing before the open door again to join Leon. In the living room, Leon still thinks.",thinks.
Where are you going?,going?
I think.,think.
What shall we do?,do?
...Shit!!  We'd found him. We waited for him to get upstairs and he got out of the window.,window.
...17.,...17.
"OK, OK! Excuse me! How old were you when you had your first contract?",contract?
Mathilda?!,Mathilda?!
...OK.  I love you anyway.,anyway.
"Mathilda, don't resume, please. ....Change subject, OK?",OK?
When I say I love you.,you.
What?,What?
"...You don't believe me, don't you?",you?
"Of course, so kiss me quickly, or they'll notice us.",us.
Stop. Everyone is looking.,looking.
"Mathilda, stop, please!",please!
...I'm going to kiss you.,you.
"And... May I kiss you, like in the movies, may this be an exception?",exception?
"It's true... But a first contract, it's an exception.",exception.
"OK... And if it's you who gets killed?  ...Then?  Talking about other people's death is easy, but what about yours? She's here! She moves around you, and can get you in a thousandth of second. Because it was your day, your hour, your second...",second...
"If you knew, Leon...!  I killed one thousand in my head...  And this never disturbed my sleep.",sleep.
I never rent my gear.,gear.
Well... Then may you rent me your gear for the day?,day?
Too heavy.,heavy.
Why?,Why?
Not taken.,taken.
"...This is what I don't like, you see: you don't refrain me, but at the same time I can't get out!",out!
...You can leave whenever you want. I don't refrain you.,you.
I hate you because you depart without kissing me. That's all.,all.
"You see, five minutes ago you said you loved me and now you hate me... but I prefer this!",this!
"No, you can't go out.",out.
For musicals?  That's part of the job!,job!
No.,No.
May I go to the cinema?,cinema?
"Quick doesn't mean ""ready"". And you can't discuss, we said. Right?",Right?
"Why don't you take me with you?... I'm ready, now.  You said I learn very quickly.",quickly.
Yes.,Yes.
Mathilda? May I come in?,in?
...Because I feel it.,it.
"How do you know it's love, if you've never been in love before?... It may be friendship... or the love you can have with a brother or a father... How can you know?",know?
"It's strange, being in love... It's the first time for me...",me...
I killed him... and cut him and ate all of him... I left nothing for you!,you!
"I was nervous, that's all! Where is the guy?",guy?
"You were scared, weren't you?",you?
"Come on, get down!",down!
OK.,OK.
Five minutes. Keep in front of the window.,window.
"There, the guy... How did you do that, without even touching him? Without noise. It's like you put him away... How did you do it?",it?
What?,What?
It's incredible! How did you do it?,it?
"Yes, yes...",yes...
What's up? I don't feel you're concentrated.,concentrated.
OK.,OK.
The yellow and pink.,pink.
"Now, try a running guy.",guy.
OK.,OK.
"It's not serious, it's just training. You have to learn from the beginning to hit the target, then, to improve precision, you'll train, but on cardboards.",cardboards.
"Yeah, but I didn't get him, I got his case and now he's behind the tree. What can I do?",do?
Good! First shot!,shot!
Perfect.,Perfect.
"The fat man down there, on the bench.",bench.
Whoever.,Whoever.
Who'll I aim at?,at?
"Yeah...  Come on, have a little training.",training.
Wow! It's brilliant!,brilliant!
Oh really?  But can you miss the car?,car?
Rocket launcher.,launcher.
What if you can't approach the car or he changes car?,car?
"Well, if the guy is far, in a car, and I know weather is going to be bad, rain for example, I think I would plastic the car, with a remote here. I shoot from the distance and if I miss I plastic.",plastic.
"What, for example?",example?
"Look. When you can see his fingers, it's 50 meters.  When you just see his hands, it's about 80 meters. When you distinguish arms from body, it's 120-130. When you see nothing more than a shape, you don't shoot.  Not very sure. You have one chance out of five to miss.  A contract means getting all chances on your side. 5 out of 5.  You can't miss a client. Never... If the task is delicate or the risk is too big, you double. That is, you insure yourself by another means.",means.
How can you say it?,it?
130... 140...,140...
Huh... 500 meters?,meters?
"Here, this is the light scoop for night shooting. There, you fix client's distance... How much to the bench down there in the park?",park?
Good.,Good.
"OK, I'm fine.",fine.
I have no fear.,fear.
Don't fear.,fear.
...One second.,second.
"Excuse me, Mister... I'm looking for Mister Rubens' apartment, but it's dark out here and I got lost...",lost...
...Yes?,...Yes?
"It's not me, it's dark here... and I can't find the switch.",switch.
"Huh? Move back, baby, I can't see anything.",anything.
"...I got lost, Mister.",Mister.
"Huh! You made an error, baby.  I don't know any Danielle.",Danielle.
"Good morning, Mister... It's Danielle!",Danielle!
Yes?,Yes?
...No... he's my lover...,lover...
Huh?,Huh?
"Yeah, but he's not exactly my father...",father...
"Huh, that's good!",good!
...Composer.,...Composer.
"Yeah, true.  But what does your father exactly do for living?",living?
I'm used to it.  Not everyone likes music.,music.
Huh? That's smart!,smart!
"Yeah. I put a rag on the strings, to lessen noise.",noise.
"I see. You're good, because I didn't hear anything.",anything.
"I'm sick with practicing, that's it...",it...
Fine...,Fine...
"How are you, Miss?",Miss?
"Huh... Yeah, yeah... Of course.",course.
Can I sit on the stairways now?,now?
...OK... Good.,Good.
Ten dollars... A month.,month.
...And how much is it?,it?
"Because you have to pay.  It's like a parking meter: if you stay, you pay. It's the rule...",rule...
Huh? Why?,Why?
You can't sit here like that.,that.
Salute.,Salute.
Salute.,Salute.
...Yeah.,...Yeah.
"You're right, son. You must care the links with your family, always.  It's the only important thing in the world.",world.
I think I will get back in Messina this summer... It's too long I haven't been there.,there.
"It's a specialty down there.  It's a fishing boat with, in front, a long pole near the surface. Then, near the cabin, a very tall mast with a little cabin for the lookout.",lookout.
No...,No...
"Did you fish in Messina? The ""pesce spada""?","spada""?"
Yes... Twice.,Twice.
"Have you ever been in Messina, son?",son?
No... Dino's.,Dino's.
"Huh? Are you Alfredo's son, then?",then?
Yeah... And still in Messina.  He's my uncle.,uncle.
Is he still alive?,alive?
Giancarlo... Rinaldi.,Rinaldi.
...Who sent you?,you?
I know... But I'm a little pressed.,pressed.
"It's a little out of the world coming to visit me this way, on mid afternoon.  It really isn't the usual procedure...",procedure...
"Yeah, but I don't give a shit about.  I trade at left, at right and that's dangerous in there...",there...
But... He works for your same employer?,employer?
Emilio? Due grappe!  ...Why the hell did you come here?,here?
Messina.,Messina.
Rinaldi... Rinaldi...  What region do you come from?,from?
These guys have no place.  They change virtually everyday. And his name...  It's a surname.,surname.
May we have this wolf's name and address?,address?
"Listen, son, you know as well as me this kind of hitmen: they come from nowhere, get the contract and disappear. They're lonely, worse than wolves.",wolves.
...Even his mother wouldn't.,wouldn't.
Do you recognize him?,him?
Then...,Then...
"I respect your business, Mister Tony. Every time we asked your help, we were very happy with the result.  It's right this that makes me nervous, now.  I hope you'll excuse my temporary bad mood?",mood?
"You'd better talk good, son, because, for the moment, I've got a quite bad opinion about you.  Norman smiles.",smiles.
"I received my B.S. from the University of Pennsylvania, my P.H.D. from Bryn Mawr College.  I worked three years at the Boston University School of Medicine, during which time I had articles printed in the ""Journal of Educational Psychology"", ""American Journal of Psychology"", ""Psychology Review"" and ""Science""... So I think it's safe to say my opinion is valid.",valid.
Here comes the resume.,resume.
Why am I such an authority?,authority?
This smells good.,good.
Adelle... Maurice is in the paper.,paper.
What is it?,it?
For a walk.  I don't know.,know.
Where?,Where?
He probably just went somewhere.,somewhere.
I won't let you die.,die.
I have to finish first.,first.
I'm completing the walk.  I'm almost there.,there.
"Listen to me very carefully, because I don't want you to misunderstand me... The walk is over Uncle Maurice.  Done. Finished.  You've made it to California, it was a miracle, now let's try to save your life.",life.
"I finish the walk, and then we may take all the chances we want.",want.
What?,What?
Then it'll have to wait until I finish.,finish.
How serious is it?,it?
I don't think you realize how serious this is Uncle.,Uncle.
You should definitely have children.  They're really special.,special.
Maybe later.,later.
Are you two planning kids?,kids?
"Uncle, the way I was told, if that police car didn't happen down that road, you would be dead right now. That guy Denny, had jumped bail in another state, he's dangerous... They'll be other Dennys, if you don't plan.",plan.
Nothing's going to happen.,happen.
"If you can't redo these six hundred miles when you're rested and ready, how are you possible going to walk another two thousand-five hundred miles in your present condition?",condition?
I've all ready gone six hundred miles... I can't do it again.,again.
Why did you take the back roads here?  They're not safe.  You'd know that if you'd planned.,planned.
No it's not.,not.
If you really want to do this... plan it out.  Rest up.  Train for it.  Build up your body.  Plan every stop along the way.  How much money?  Time?  Really do it properly.  This is all so -- by the seat of your pants.,pants.
I'll make it.,it.
What if you don't make it?,it?
You'd be visiting me at Nasa.,Nasa.
She was being symbolic.  What if she asked you to fly to the moon?,moon?
It's what she asked for... It's what I'm going to do.,do.
It's impossible.,impossible.
I have to walk -- by myself -- all the way -- every inch.,inch.
"Uncle Maurice -- I spent all our frequent flyer miles on a one way ticket here... I have a rented car outside, just listen to me.  Come back with me now, and if you still want to do something like this in a year -- maybe we'll plan a car trip across the country -- Gerald and I will come along --",--
Maybe one day -- after you've been married twenty years you'll understand.,understand.
I don't accept that.,that.
I have new dreams now.,now.
And your store?  What about your new store?  What about all your dreams?,dreams?
High-top Nike Cross-Trainers with heel support and air-cushioned soles.  They're nasty.,nasty.
"Uncle Maurice, you're wearing sneakers?",sneakers?
"Don't wait by the phone.  If he's really been walking this whole time, he's out of our jurisdiction...",jurisdiction...
Thank you.,you.
"Look, I'll see if anyone has spotted him recently.  If I get any information, I'll call you.",you.
A couple days to a few months if untreated.,untreated.
How long does this... Mania last?,last?
"I think my uncle is suffering from a condition called Mania which is linked with depression.  It is a time when an individual will act over-confident, and will act out impractical, grandiose plans. Sometimes these plans can be dangerous.",dangerous.
We're very sorry about that.  Some of our men were on the scene of the accident.,accident.
"Sergeant, I'm a psychologist and I know the difference between normal whims people have and actions that clearly display psychological problems... My uncle lost his wife and it devastated him.",him.
A.P.B.... He isn't breaking any law.  He's a grown man... He can crawl on his hands and knees to China if that's what he wants to do.,do.
Put out a P.B.S.... Or whatever it's called.,called.
What would you like us to do?,do?
I'll kill you!,you!
Oh the preacher's getting angry again...  Tell me something.  Did she die instantly or did she feel every torn muscle and shattered bone? Were you there to help her?  Or were you safe at home when the windshield sliced into her face --,--
That's enough.,enough.
A wife?... Did someone piss drunk run into your wife?  Crushed her like a bug.  Snapped her bones?,bones?
"You need a ride, Preacher?",Preacher?
This is Indiana -- nothing's going to happen to you.,you.
"No, I just don't want anybody dying because I didn't say something when I had the chance.",chance.
Are you a preacher?,preacher?
Are you and your friends planning on driving soon?,soon?
Mine.,Mine.
It's hard to say.  It's a delicate surgery.  There's no getting around the fact that it's a very high-risk situation.,situation.
What are the odds?  Do I have a fifty-fifty chance of surviving the operation?,operation?
We operate.  We find the artery in the brain and close the bleeding... I just did this procedure on a Senator and he's doing fine.,fine.
What steps do we take now?,now?
"It can, but it'll have to wait in line.",line.
Can it kill me?,me?
"The normal amount of build up in your arteries has been aggravated by over exertion.  This is called, ""Claudication,""  As a result, there isn't enough circulation to your body.  That accounts for the discoloration in your extremities and the muscle spasms I'm sure you've encountered.",encountered.
Twenty miles?  I see.,see.
I don't know -- maybe twenty miles... Of course I'm not recommending that... if someone like you had to I mean... that's how far they'd probably get before encountering serious physical walls.,walls.
Just for curiosity sake that's all?,all?
No.  How far in one attempt -- what's the farthest someone like myself could walk?,walk?
You should start slow and easy -- fifteen minutes a day.,day.
Okay.,Okay.
You're feeling old and you want to start exercising.  A lot of men your age feel the need to recapture their youth.  Don't feel embarrassed about it.,it.
You have?,have?
I've seen it before.,before.
You do?,do?
I know what you're getting at.,at.
I'm going to ask you a question that may sound peculiar.,peculiar.
Yes -- you are.,are.
"Routine, I assure you.  I just wanted to gage my health.  Am I healthy?",healthy?
I mean why the sudden voluntary visit  -- usually it takes gun- point to get you in here...,here...
Pardon?,Pardon?
So what's the deal Maurice?,Maurice?
Good.,Good.
"The beach of Pacifica, California.",California.
"No really, if God takes us away from each other, you know where to look now?",now?
Go to sleep Ellen.,Ellen.
"If I die, you'll know where to look for me?",me?
Yes.,Yes.
Maurice?,Maurice?
"When I was ten, my family lived in Pacifica for a year.  I used to go to the beach everyday that summer. I never felt so happy, carefree. It was a magic place for me... That's where my heaven will be.",be.
Why there?,there?
"Pacifica, California.",California.
Where?,Where?
I know where my heaven is.,is.
Did you have a dream?,dream?
I think it's a different place for each person.,person.
I don't know.,know.
"No it's not.  He should be here with me now, not trying to find some fucking bottle of Johnny Walker.  He's never been there for me.  I've always been alone.",alone.
That's okay -- really it is.,is.
He's plastered.,plastered.
Your father?,father?
It'll make it.,it.
It isn't going to make it Ellen. Let the poor thing go quietly.,quietly.
Don't bring it in here -- it probably has all kinds of diseases.,diseases.
It must've hit the window... I think its neck is broken.,broken.
Don't be so sure.,sure.
"Face it Ellen, I'm not the type of person who reads bedtime stories. But you love me anyway.",anyway.
You can change.,change.
"... People that were made to be parents, and people who were not made to be parents... My parents, were people who were not made to be parents but had kids anyway.  I don't want us to be that way Ellen.",Ellen.
"Please not, 'The two kinds of people' speech.",speech.
"Ellen, there are two kinds of people in the world --",--
Yes.,Yes.
"You've just decided, is that right?",right?
I want children.,children.
You can't change your mind.,mind.
I've changed my mind.,mind.
I thought we both wanted the same things.,things.
Please tell me.,me.
It's one of those thoughts you keep to yourself.,yourself.
No.  But I want to take a walk with you.,you.
You like to take walks?,walks?
Walk with me?,me?
I will -- I promise.,promise.
Show me.,me.
"I do love you... very, very much.",much.
"Exactly.  No reason.  No occasion. It just makes you feel good to do something for it, to express your pride and affection for it some how...  How come you'd do that for a piece of metal and not for me?",me?
There's no reason.,reason.
Then why?,why?
No.,No.
Why are you polishing it -- in bed -- in your pajamas -- at 11:15 at night?  Are you going to show it to someone?,someone?
A Book Society Award is a very prestigious thing.,thing.
Why do you polish it?,it?
You're talking to me?,me?
Why do you polish that thing all the time?,time?
No I don't.  I don't even know if you'd walk across the street for me.,me.
What do you want from me?  Would I swim across an ocean for you?... Would I walk across the United States for you?  Yes... Yes I would.  You know that.,that.
Anything?,Anything?
Yes.,Yes.
I want to be shown...  Maurice would you do anything for me?,me?
You don't think I love you?,you?
Sometimes people need to see things done for them -- because sooner or later they don't believe the words anymore.,anymore.
Is this going to be similar to the flower incident?,incident?
I don't follow.,follow.
What it is -- is the truth.,truth.
What's that?  That's not a fortune... You will be rich... That's a fortune.  What you have is a statement.,statement.
... Love is shown through actions not just words.,words.
We can do it together.,together.
It's a tremendous amount of work -- moving.,moving.
"Honey, I told you.  If it makes you happy, we should just do it.",it.
The new store?,store?
What?,What?
Ellen?,Ellen?
"Well, I'm sure it's not Christmas, because you'd be worried about how much money we don't have to spend on each other... I know it's not New Years, because you'd be going on and on about wearing a tuxedo and how much you don't like to dance... and I'm sure it's not our anniversary, because I didn't find an envelope with a hundred dollars cash on my bureau with a note that says, 'Pick out something pretty'... Yes -- Maurice -- I'm virtually certain it's not a special day today.",today.
It's a special day isn't it?,it?
It's just a regular day.,day.
Have I forgotten something?  Is this a special day?,day?
There was no card.,card.
You thought I sent them?,them?
The flowers... they're beautiful.,beautiful.
Yes?,Yes?
"I'm not proving to her.  I'm showing her.  And I know I don't have to.  I want to.  I've realized, love is about giving. I'm alive, I can still give to her. I want to give her everything I can.",can.
You don't have to prove anything to her.,her.
About my love for her.,her.
Doubts?  About what?,what?
I don't want my wife's soul having any doubts.,doubts.
That's a reasonable assumption.,assumption.
And that that soul takes part of the person they were on this earth with them.,them.
Most certainly.,certainly.
Do you believe a person's soul lives on after their death?,death?
Why?,Why?
I see.,see.
"Philadelphia, Pennsylvania.",Pennsylvania.
From where?,where?
"Pacifica, California.",California.
To where?,where?
"I asked the officers if you had committed some crime... If they had said 'yes', you would be speaking with them right now.",now.
Thank you... I'm sorry you had to lie.  It must have been difficult.,difficult.
If I had seen you.  By the way I'm sorry about your wife.  They told me.,me.
What did they ask?,ask?
Out of the car.  He jumped out of the god damn car!,car!
Jumped where?,where?
Shit!  He jumped!,jumped!
That's all right isn't it?,it?
I'm going to drop off Tandy at the station and then drop you back.,back.
P-A-R-K-E-R.  Right.  Get on the horn with Philly.  Call me here.,here.
Hansen's whipped.  Has to call his wife every two hours or she'll go ballistic when he gets home.,home.
Maurice and Ellen Parker... it was issued in Philly... Mr. Maurice Parker has come a long way from home.  Why?,Why?
